주소,latitude,longitude
서울특별시 중구 다산로 261,37.5588633,127.0123671
서울특별시 은평구 연서로 104,37.6293324,126.9299994
서울특별시 은평구 은평로8길 12,37.5989122,126.9202357
서울특별시 구로구 신도림로 11길 9-64,0.0,0.0
서울특별시 구로구 경인로 53가길10(구로동) 지하 4층,0.0,0.0
서울특별시 강서구 등촌로 185,37.5510846,126.8641546
서울특별시 마포구 마포대로 173-15,37.5448226,126.9515512
서울특별시 강서구 공항대로 260,37.5605269,126.8179056
서울특별시 동대문구 왕산로 109,37.5805669,127.0459512
서울특별시 중구 소공로 51,37.5649179,126.9782113
서울특별시 마포구 월드컵북로60길 17,37.5831189,126.8849425
서울특별시 동대문구 답십리로 210-3,37.5765595,127.0465065
서울특별시 용산구 유엔빌리지길 80-36,37.5318434,127.0109405
서울특별시 동대문구,37.5741982,127.0395092
서울특별시 도봉구 마들로13길 84,37.6567352,127.0464541
서울특별시 종로구 새문안로3길 30,37.572493050000006,126.97318665006634
서울특별시 성동구,37.5635,127.0365
서울특별시 금천구 가산디지털1로 5,37.4789274,126.8822324
서울특별시 종로구 율곡로 57,37.5767908,126.9856102
서울특별시 서대문구 통일로 195,37.5769006,126.9546623
서울특별시 은평구 통일로 715,37.599125,126.9381971
서울특별시 강동구 천호대로 1190,37.5338513,127.1394046
서울특별시 서대문구 세검정로 36,37.5923164,126.9468742
서울특별시 은평구 수색로24길 19,37.5913068,126.8829757
서울특별시 강서구 마곡동로 56,37.560138,126.8338003
서울특별시 성동구 독서당로40길 25,37.5429327,127.0171773
서울특별시 강남구 테헤란로 203,37.5086744,127.0629003
서울특별시 중구 소파로 145,37.55662,126.98524
서울특별시 종로구 율곡로 75,37.5773386,126.9872167
서울특별시 강북구 도봉로 242,37.6353884,127.0231582
서울특별시 중구 퇴계로 140,37.5612654,126.9890108
서울특별시 중랑구 동일로 862,37.5937124,127.0802312
서울특별시 마포구 토정로37길 38,37.5435381,126.9461751
서울특별시 중구 남대문로 92,37.564279549999995,126.97763075860892
서울특별시 성동구 마장로27길 13,37.5668143,127.0344512
서울특별시 강동구 양재대로 1318,37.5340323,127.1385781
서울특별시 양천구 목동서로 313,37.5387016,126.884416
서울특별시 영등포구 의사당대로 1,37.53186565,126.9141232377511
서울특별시 동작구 동작대로 19,37.4783083,126.9809567
서울특별시 영등포구 여의동로 7길 5,0.0,0.0
서울특별시 영등포구 문래북로 66,37.5196816,126.8986214
서울특별시 노원구 노원길 130,0.0,0.0
서울특별시 서초구 효령로 72길 60,0.0,0.0
서울특별시 노원구 노해로 429,37.6538781,127.0594155
서울특별시 송파구 신천동 29-5 송파구청 앞,0.0,0.0
서울특별시 송파구 오금로 27길 29,0.0,0.0
서울특별시 용산구 한강대로 23길 55,0.0,0.0
서울특별시 은평구 통일로 659,37.599125,126.9381971
서울특별시 마포구 월드컵로 240,37.5620328,126.9047326
"서울특별시 중구 세종대로 110 (태평로1가, 서울시청)",0.0,0.0
"서울특별시 은평구 불광천길 436 (응암동, 응암공영주차장)",0.0,0.0
서울특별시 동대문구 회기동 1-1,37.59433,127.05178
서울특별시 중랑구 면목동 1081-1,37.58178,127.09034
"서울특별시 도봉구 도봉로 552 (창동, 도봉구민회관)",37.6541786,127.0380477
"서울특별시 도봉구 마들로 656 (방학동, 도봉구청)",37.66894,127.046
"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스)",0.0,0.0
서울특별시 은평구 녹번동 153-1,37.60395,126.93437
서울특별시 광진구 자양3동 510-8,37.5296259,127.07019931805847
서울특별시 구로구 고척로 45길 39,0.0,0.0
서울특별시 금천구 가산디지털1로 33-33,37.4789274,126.8822324
서울특별시 금천구 범안로 17길 1,0.0,0.0
서울특별시 금천구 시흥대로 73길 70,0.0,0.0
서울특별시 구로구 가마산로 245,37.4972748,126.892705
서울특별시 강동구 구천면로 395(명일동),0.0,0.0
서울특별시 강동구 구천면로 42길 60(천호동),0.0,0.0
서울특별시 강동구 천호대로 1005,37.5338513,127.1394046
서울특별시 종로구 종로5길 58,37.57298,126.9802494
서울특별시 중구 을지로 281,37.56706855,127.00989898565089
서울특별시 종로구 삼청로 30,37.5788785,126.9806715234046
서울특별시 동대문구 망우로 18나길 20,0.0,0.0
서울특별시 용산구 한남대로 80,37.5442669,127.0022615
서울특별시 은평구 백련산로 90,37.5958965,126.9234862
서울특별시 광진구 자양로 117,37.5446744,127.0850192
서울특별시 광진구 광나루로 56길 85,0.0,0.0
서울특별시 광진구 뚝섬로 52길 74,0.0,0.0
서울특별시 영등포구 경인로 880,37.5200082,126.9147546
서울특별시 서대문구 홍은중앙로 125,37.5936027,126.9457812
서울특별시 서초구 효령료 72길 60,0.0,0.0
서울특별시 강남구 언주로 211,37.4927951,127.0462939
서울특별시 강남구 선릉로 121길 12,0.0,0.0
서울특별시 서초구 서초동 700,37.48818,127.01751
서울특별시 서초구 서초동 1343-2,37.48818,127.01751
서울특별시 동작구 여의대방로 54길 18,0.0,0.0
서울특별시 강서구 하늘길 38,37.5634551,126.8029617
서울특별시 구로구 구로동 741-44 외 4필지,0.0,0.0
서울특별시 강동구 아리수로98길 25,37.563487,127.1787024
서울특별시 강동구 상일로 74,37.5505627,127.1720295
서울특별시 송파구 올림픽로35길 93,37.5169432,127.1006198
서울특별시 송파구 충민로6길 14,37.4813851,127.1319625
서울특별시 송파구 마천동 성내천로37길 37,0.0,0.0
서울특별시 송파구 장지동 위례광장로 185,0.0,0.0
서울특별시 송파구 신천동 올림픽로 269,37.5134193,127.1004268
서울특별시 서초구 양재대로2길 109,37.4566268,127.0156209
서울특별시 서초구 서초동 반포대로26길 20,37.4909683,127.0117419
서울특별시 구로구 새말로 31,37.5013769,126.883243
서울특별시 영등포구 신길동 가마산로 442,37.5048129,126.9145104
서울특별시 강남구 율현동 밤고개로26길 50,37.470328,127.1057318
서울특별시 강남구 삼성로67길 14,37.5002957,127.0563369
서울특별시 동대문구 답십리동 한천로37길 33,37.575889000000004,127.06532552310182
서울특별시 중랑구 묵동 숙선옹주로 6-9,37.6144175,127.0806791
서울특별시 중랑구 묵동 동일로 932,37.6131461,127.0773865
서울특별시 광진구 광장동 아차산로 537-17,37.5413674,127.0964818
서울특별시 광진구 자양동 아차산로 262,37.5380836,127.0753748
서울특별시 성동구 성수동2가 성수이로 137,37.5393892,127.0551
서울특별시 도봉구 마들로 735-8,37.6562825,127.0527689
서울특별시 도봉구 시루봉로 11길 25-8,0.0,0.0
서울특별시 도봉구 우이천로 367,37.6337612,127.039084
서울특별시 도봉구 시루봉로 58,37.6564475,127.0299057
서울특별시 도봉구 시루봉로 6길53,0.0,0.0
서울특별시 노원구 한글비석로 15길 51,0.0,0.0
서울특별시 도봉구 덕릉로 60길 164-13,0.0,0.0
서울특별시 용산구 이촌로 100-8,37.5220008,126.9699811
서울특별시 용산구 백범로 341,37.5360154,126.9728426
서울특별시 용산구 한강대로23길 55,37.5301906,126.9651428
서울특별시 중구 소공로 35,37.5649179,126.9782113
서울특별시 중구 다산로 32 1동,0.0,0.0
서울특별시 중구 소공로 46,37.559439749999996,126.98337316996876
서울특별시 성북구 돈암동 동소문로34길 73,0.0,0.0
서울특별시 송파구 성내천로43길 6,37.4955333,127.1560303
서울특별시 송파구 가락동 동남로 193,0.0,0.0
서울특별시 송파구 가락동 중대로12길 35,37.4930848,127.1225384
서울특별시 강동구 고덕동 동남로79길 26,0.0,0.0
서울특별시 송파구 송파동 오금로32길 14,0.0,0.0
서울특별시 송파구 가락동 송파대로28길 27,37.495075799999995,127.12071397389175
서울특별시 송파구 풍납동 풍성로26길 31,37.531213,127.1181055
서울특별시 강동구 암사동 고덕로 53,37.5548237,127.134601
서울특별시 강동구 암사동 올림픽로104길 41,37.5555704,127.1310095
서울특별시 강서구 내발산동 수명로1길 110,0.0,0.0
서울특별시 강서구 내발산동 수명로2길 105,0.0,0.0
서울특별시 강서구 내발산동 수명로2길 63,0.0,0.0
서울특별시 강서구 마곡동 마곡서1로 132,37.5706193,126.8189552
서울특별시 강서구 마곡동 마곡중앙3로 74,37.56336415,126.81835623297108
서울특별시 양천구 목동 목동동로 339,37.5368588,126.8840369
서울특별시 양천구 목동 목동중앙본로1길 11,0.0,0.0
서울특별시 강서구 방화동 금낭화로 287-19,37.5792236,126.813422
서울특별시 양천구 목동 목동동로 401,37.5368588,126.8840369
서울특별시 양천구 신월동 곰달래로2길 32,37.5278817,126.8345265
서울특별시 강서구 염창동 양천로73길 24,37.551736,126.8732382
서울특별시 양천구 신월동 오목로 90,0.0,0.0
서울특별시 양천구 신정동 신정로7길 76,0.0,0.0
서울특별시 강서구 공항동 공항대로 59,37.5612563,126.8124407
서울특별시 강서구 화곡동 강서로45다길 30-27,0.0,0.0
서울특별시 관악구 봉천동 은천로 93,37.4868596,126.9477174
서울특별시 관악구 봉천동 보라매로 62,37.4935901,126.9280649756679
